prior_x,prior_y,observe_x,observe_y,post_x,post_y,post_theta,post_v,post_w
4.55001,5.55001,4.55,5.55001,4.55001,5.55001,-1.5502,2.38352e-05,0.00242566
4.55001,5.55001,4.55,5.55001,4.55001,5.55001,-1.54998,2.11439e-05,0.00242147
4.55001,5.55001,4.55,5.55001,4.55001,5.55001,-1.54977,1.87559e-05,0.00241742
4.55001,5.55001,4.55,5.55001,4.55001,5.55001,-1.54955,1.66372e-05,0.00241351
4.55001,5.55001,4.55,5.55001,4.55001,5.55001,-1.54934,1.47574e-05,0.00240972
4.55001,5.55001,4.55,5.55001,4.55001,5.55001,-1.54912,1.30894e-05,0.00240605
4.55001,5.55001,4.55,5.55001,4.55001,5.55001,-1.54891,1.16096e-05,0.00240249
4.55001,5.55,4.55,5.55001,4.55001,5.55001,-1.54869,1.02965e-05,0.00239905
4.55001,5.55,4.55,5.55001,4.55001,5.55,-1.54847,9.13156e-06,0.00239572
4.55001,5.55,4.55,5.55,4.55001,5.55,-1.54826,8.09795e-06,0.00239249
4.55001,5.55,4.55,5.55,4.55001,5.55,-1.54804,7.18089e-06,0.00238935
4.55001,5.55,4.55,5.55,4.55001,5.55,-1.54782,6.36724e-06,0.00238631
4.55001,5.55,4.55,5.55,4.55001,5.55,-1.54761,5.64536e-06,0.00238336
